N,obs_subsamples,lambda_u,ux_min,obstacle_clearance_m,success,accepted,cost_s,solve_time_s,iterations,max_obstacle_slack,min_obstacle_clearance_m,tv_delta,tv_fx,max_abs_ddelta,max_abs_dfx
100,7,0.003,2.5,0.0,True,True,15.557326651023441,22.522542238235474,123,0.0,inf,5.940732853749018,53.06243125995613,0.9424419372413346,1.3414982218536273
100,7,0.003,3.0,0.0,True,True,15.563702360132362,25.659754276275635,152,0.0,inf,5.954762909290533,53.35867783668146,0.94243709159315,1.3417821723285062
100,7,0.005,2.5,0.0,True,True,15.478476888689084,32.725523948669434,220,0.0,inf,4.13729240806948,33.511750820167705,0.9423686725272198,0.9066321409263169
100,7,0.005,3.0,0.0,True,True,15.618904346541175,28.2703595161438,182,0.0,inf,5.959887256176906,42.560392223164776,0.9424228882930237,1.1364156794859992
120,7,0.003,2.5,0.0,True,True,15.659205058916823,27.184009313583374,126,0.0,inf,5.686320012090512,54.20487271031291,0.9423896958047602,1.2325073943485765
120,7,0.003,3.0,0.0,True,True,15.582303070452012,53.628251791000366,343,0.0,inf,2.6059066023281936,50.83724263783316,0.5007676395934169,1.0754405105796523
120,7,0.005,2.5,0.0,True,True,15.792863704471836,39.73033857345581,176,0.0,inf,8.819391528421601,52.316403932076405,0.9182106551698579,1.0374108517253229
120,7,0.005,3.0,0.0,True,True,15.659195263472748,26.977837085723877,124,0.0,inf,5.143237361345821,42.91276679393123,0.9422825074743356,0.9766707281313152
